name,a,b,multiplication,division
Jack,15,5,75,3
Jack,6,3,18,2
Jack,28,7,196,4
Jack,26,2,52,13
Amelia,18,2,36,9
Amelia,14,14,196,1
Amelia,46,46,2116,1
Amelia,39,3,117,13
Emma,6,6,36,1
Emma,24,4,96,6
Emma,24,24,576,1
Emma,44,11,484,4
Ella,6,3,18,2
Ella,48,4,192,12
Ella,22,11,242,2
Ella,46,46,2116,1
Mia,24,6,144,4
Mia,40,8,320,5
Mia,49,7,343,7
Mia,28,14,392,2
Zoe,3,3,9,1
Zoe,39,3,117,13
Zoe,33,3,99,11
Zoe,28,14,392,2
Benjamin,24,4,96,6
Benjamin,32,32,1024,1
Benjamin,14,14,196,1
Benjamin,36,3,108,12
Olivia,34,17,578,2
Olivia,33,11,363,3
Olivia,50,10,500,5
Olivia,27,27,729,1
Zoe,8,8,64,1
Zoe,46,2,92,23
Zoe,16,4,64,4
Zoe,36,2,72,18
William,48,2,96,24
William,30,3,90,10
William,34,34,1156,1
William,48,16,768,3
Henry,11,11,121,1
Henry,24,12,288,2
Henry,30,2,60,15
Henry,12,4,48,3
Nora,24,24,576,1
Nora,14,7,98,2
Nora,36,3,108,12
Nora,28,14,392,2
Daniel,35,5,175,7
Daniel,20,2,40,10
Daniel,35,7,245,5
Daniel,34,2,68,17
Henry,28,2,56,14
Henry,12,2,24,6
Henry,50,25,1250,2
Henry,20,5,100,4
Grace,26,2,52,13
Grace,20,2,40,10
Grace,41,41,1681,1
Grace,36,3,108,12
Alexander,48,3,144,16
Alexander,32,4,128,8
Alexander,10,2,20,5
Alexander,24,12,288,2
Matthew,7,7,49,1
Matthew,36,18,648,2
Matthew,28,2,56,14
Matthew,10,10,100,1
Henry,48,8,384,6
Henry,30,30,900,1
Henry,24,3,72,8
Henry,44,2,88,22
Jacob,40,40,1600,1
Jacob,18,3,54,6
Jacob,27,27,729,1
Jacob,18,2,36,9
Amelia,48,4,192,12
Amelia,46,2,92,23
Amelia,27,27,729,1
Amelia,39,13,507,3
Nathan,48,48,2304,1
Nathan,36,18,648,2
Nathan,34,34,1156,1
Nathan,24,6,144,4
Benjamin,44,22,968,2
Benjamin,43,43,1849,1
Benjamin,13,13,169,1
Benjamin,9,3,27,3
Nora,15,5,75,3
Nora,18,18,324,1
Nora,19,19,361,1
Nora,39,3,117,13
Ella,10,10,100,1
Ella,36,4,144,9
Ella,36,3,108,12
Ella,50,2,100,25
Daniel,45,15,675,3
Daniel,26,26,676,1
Daniel,48,2,96,24
Daniel,4,2,8,2
Chloe,15,15,225,1
Chloe,46,2,92,23
Chloe,28,2,56,14
Chloe,33,3,99,11
Olivia,30,3,90,10
Olivia,40,2,80,20
Olivia,19,19,361,1
Olivia,40,20,800,2
James,27,27,729,1
James,44,4,176,11
James,20,20,400,1
James,44,11,484,4
Isla,15,3,45,5
Isla,30,5,150,6
Isla,44,11,484,4
Isla,50,25,1250,2
Henry,18,18,324,1
Henry,20,2,40,10
Henry,46,23,1058,2
Henry,45,15,675,3
Isla,2,2,4,1
Isla,50,5,250,10
Isla,32,2,64,16
Isla,42,42,1764,1
James,15,5,75,3
James,34,34,1156,1
James,30,10,300,3
James,25,25,625,1
Emma,25,25,625,1
Emma,48,8,384,6
Emma,12,4,48,3
Emma,12,6,72,2
Harper,42,21,882,2
Harper,11,11,121,1
Harper,45,45,2025,1
Harper,16,8,128,2
Benjamin,42,6,252,7
Benjamin,47,47,2209,1
Benjamin,20,4,80,5
Benjamin,27,27,729,1
Michael,50,25,1250,2
Michael,39,3,117,13
Michael,24,3,72,8
Michael,46,23,1058,2
Thomas,22,22,484,1
Thomas,30,15,450,2
Thomas,36,18,648,2
Thomas,35,35,1225,1
Daniel,45,3,135,15
Daniel,40,10,400,4
Daniel,16,2,32,8
Daniel,26,13,338,2
Amelia,10,10,100,1
Amelia,6,2,12,3
Amelia,49,7,343,7
Amelia,48,2,96,24
Amelia,49,7,343,7
Amelia,24,6,144,4
Amelia,3,3,9,1
Amelia,12,2,24,6
Lucas,10,5,50,2
Lucas,11,11,121,1
Lucas,7,7,49,1
Lucas,32,8,256,4
William,44,44,1936,1
William,25,5,125,5
William,28,14,392,2
William,24,3,72,8
Grace,16,16,256,1
Grace,48,12,576,4
Grace,48,16,768,3
Grace,42,6,252,7
Amelia,42,6,252,7
Amelia,37,37,1369,1
Amelia,21,21,441,1
Amelia,14,2,28,7
Olivia,39,39,1521,1
Olivia,34,2,68,17
Olivia,39,3,117,13
Olivia,38,2,76,19
Daniel,9,9,81,1
Daniel,14,7,98,2
Daniel,10,5,50,2
Daniel,36,36,1296,1
Harper,32,32,1024,1
Harper,15,3,45,5
Harper,26,13,338,2
Harper,22,2,44,11
Henry,46,2,92,23
Henry,40,8,320,5
Henry,18,2,36,9
Henry,39,3,117,13
Charlotte,28,14,392,2
Charlotte,41,41,1681,1
Charlotte,26,13,338,2
Charlotte,12,3,36,4
Daniel,47,47,2209,1
Daniel,14,7,98,2
Daniel,9,3,27,3
Daniel,46,23,1058,2
Matthew,4,4,16,1
Matthew,25,5,125,5
Matthew,20,4,80,5
Matthew,37,37,1369,1
Lily,42,14,588,3
Lily,24,3,72,8
Lily,36,18,648,2
Lily,20,4,80,5
Jacob,2,2,4,1
Jacob,36,6,216,6
Jacob,27,27,729,1
Jacob,40,20,800,2
Ava,39,3,117,13
Ava,48,3,144,16
Ava,42,21,882,2
Ava,18,18,324,1
Henry,30,3,90,10
Henry,24,4,96,6
Henry,10,2,20,5
Henry,48,24,1152,2
Harper,46,23,1058,2
Harper,30,30,900,1
Harper,10,2,20,5
Harper,9,3,27,3
Ethan,42,7,294,6
Ethan,44,4,176,11
Ethan,45,15,675,3
Ethan,19,19,361,1
Emma,44,22,968,2
Emma,12,4,48,3
Emma,21,7,147,3
Emma,11,11,121,1
Ella,11,11,121,1
Ella,25,5,125,5
Ella,36,36,1296,1
Ella,16,2,32,8
Nathan,48,8,384,6
Nathan,26,13,338,2
Nathan,48,24,1152,2
Nathan,50,2,100,25
Emma,12,4,48,3
Emma,38,38,1444,1
Emma,48,48,2304,1
Emma,48,6,288,8
Michael,30,30,900,1
Michael,27,9,243,3
Michael,23,23,529,1
Michael,36,12,432,3
Benjamin,30,5,150,6
Benjamin,40,40,1600,1
Benjamin,30,30,900,1
Benjamin,12,2,24,6
James,40,40,1600,1
James,48,6,288,8
James,14,7,98,2
James,12,2,24,6
Grace,24,3,72,8
Grace,44,11,484,4
Grace,27,27,729,1
Grace,26,2,52,13
Sophia,28,28,784,1
Sophia,40,4,160,10
Sophia,46,46,2116,1
Sophia,30,6,180,5
Ella,45,15,675,3
Ella,4,2,8,2
Ella,48,2,96,24
Ella,30,5,150,6
Isla,14,14,196,1
Isla,15,3,45,5
Isla,48,2,96,24
Isla,18,18,324,1
Alexander,28,28,784,1
Alexander,50,10,500,5
Alexander,24,2,48,12
Alexander,33,3,99,11
Henry,27,27,729,1
Henry,44,11,484,4
Henry,42,42,1764,1
Henry,39,3,117,13
Matthew,28,7,196,4
Matthew,8,8,64,1
Matthew,2,2,4,1
Matthew,32,16,512,2
Thomas,16,16,256,1
Thomas,20,2,40,10
Thomas,40,5,200,8
Thomas,48,2,96,24
Lucas,39,13,507,3
Lucas,48,4,192,12
Lucas,4,2,8,2
Lucas,15,5,75,3
William,18,9,162,2
William,46,46,2116,1
William,8,2,16,4
William,35,7,245,5
Ethan,48,2,96,24
Ethan,18,6,108,3
Ethan,39,39,1521,1
Ethan,16,8,128,2
Emma,30,10,300,3
Emma,35,5,175,7
Emma,8,4,32,2
Emma,24,2,48,12
Chloe,26,13,338,2
Chloe,14,14,196,1
Chloe,34,2,68,17
Chloe,48,4,192,12
Nathan,37,37,1369,1
Nathan,25,5,125,5
Nathan,20,2,40,10
Nathan,20,20,400,1
Nathan,38,2,76,19
Nathan,6,3,18,2
Nathan,20,20,400,1
Nathan,32,16,512,2
Zoe,38,2,76,19
Zoe,26,13,338,2
Zoe,28,2,56,14
Zoe,19,19,361,1
Zoe,15,3,45,5
Zoe,36,3,108,12
Zoe,8,2,16,4
Zoe,42,3,126,14
Amelia,22,22,484,1
Amelia,30,10,300,3
Amelia,24,12,288,2
Amelia,24,8,192,3
James,22,2,44,11
James,36,18,648,2
James,32,8,256,4
James,28,14,392,2
Nora,11,11,121,1
Nora,28,14,392,2
Nora,33,33,1089,1
Nora,44,22,968,2
Jacob,46,2,92,23
Jacob,32,8,256,4
Jacob,6,6,36,1
Jacob,27,9,243,3
Charlotte,48,24,1152,2
Charlotte,27,27,729,1
Charlotte,8,2,16,4
Charlotte,15,3,45,5
Ella,40,2,80,20
Ella,33,11,363,3
Ella,30,30,900,1
Ella,40,2,80,20
Ella,44,22,968,2
Ella,15,15,225,1
Ella,36,4,144,9
Ella,48,16,768,3
Henry,27,3,81,9
Henry,8,8,64,1
Henry,40,2,80,20
Henry,2,2,4,1
Michael,46,2,92,23
Michael,22,11,242,2
Michael,35,5,175,7
Michael,39,39,1521,1
William,32,8,256,4
William,30,30,900,1
William,16,4,64,4
William,30,5,150,6
Michael,30,15,450,2
Michael,37,37,1369,1
Michael,32,4,128,8
Michael,36,36,1296,1
Lucas,30,3,90,10
Lucas,48,2,96,24
Lucas,16,8,128,2
Lucas,22,2,44,11
Mia,36,3,108,12
Mia,20,10,200,2
Mia,48,8,384,6
Mia,30,6,180,5
Jacob,47,47,2209,1
Jacob,30,6,180,5
Jacob,29,29,841,1
Jacob,24,2,48,12
Mia,48,24,1152,2
Mia,32,2,64,16
Mia,42,2,84,21
Mia,40,5,200,8
Daniel,24,3,72,8
Daniel,44,22,968,2
Daniel,42,6,252,7
Daniel,20,5,100,4
Chloe,12,6,72,2
Chloe,28,28,784,1
Chloe,44,44,1936,1
Chloe,32,16,512,2
William,25,5,125,5
William,30,15,450,2
William,24,8,192,3
William,22,11,242,2
Benjamin,6,3,18,2
Benjamin,8,8,64,1
Benjamin,26,2,52,13
Benjamin,42,6,252,7
Ella,12,2,24,6
Ella,40,20,800,2
Ella,38,19,722,2
Ella,48,16,768,3
Henry,36,4,144,9
Henry,43,43,1849,1
Henry,36,18,648,2
Henry,26,2,52,13
Benjamin,3,3,9,1
Benjamin,15,3,45,5
Benjamin,39,3,117,13
Benjamin,24,6,144,4
Charlotte,45,3,135,15
Charlotte,41,41,1681,1
Charlotte,9,3,27,3
Charlotte,48,3,144,16
Amelia,16,4,64,4
Amelia,40,20,800,2
Amelia,17,17,289,1
Amelia,45,15,675,3
Grace,50,2,100,25
Grace,31,31,961,1
Grace,40,5,200,8
Grace,50,50,2500,1
Matthew,44,11,484,4
Matthew,39,13,507,3
Matthew,47,47,2209,1
Matthew,40,8,320,5
Nathan,19,19,361,1
Nathan,42,6,252,7
Nathan,40,10,400,4
Nathan,27,9,243,3
Thomas,26,13,338,2
Thomas,28,7,196,4
Thomas,45,5,225,9
Thomas,42,21,882,2
Jack,25,25,625,1
Jack,28,7,196,4
Jack,40,4,160,10
Jack,12,3,36,4
Lucas,29,29,841,1
Lucas,25,5,125,5
Lucas,28,4,112,7
Lucas,32,16,512,2
Samuel,46,23,1058,2
Samuel,12,4,48,3
Samuel,18,2,36,9
Samuel,18,9,162,2
Amelia,36,4,144,9
Amelia,18,18,324,1
Amelia,24,3,72,8
Amelia,10,10,100,1
Mia,37,37,1369,1
Mia,32,8,256,4
Mia,46,23,1058,2
Mia,42,2,84,21
Mia,10,5,50,2
Mia,23,23,529,1
Mia,38,38,1444,1
Mia,36,6,216,6
Nathan,48,48,2304,1
Nathan,6,2,12,3
Nathan,48,16,768,3
Nathan,36,3,108,12
Lily,3,3,9,1
Lily,34,2,68,17
Lily,30,5,150,6
Lily,38,38,1444,1
Grace,46,46,2116,1
Grace,50,10,500,5
Grace,24,6,144,4
Grace,42,21,882,2
Amelia,28,4,112,7
Amelia,40,2,80,20
Amelia,42,21,882,2
Amelia,6,6,36,1
Jacob,32,32,1024,1
Jacob,20,4,80,5
Jacob,42,2,84,21
Jacob,16,8,128,2
Ella,45,45,2025,1
Ella,6,3,18,2
Ella,36,9,324,4
Ella,49,49,2401,1
Ethan,6,3,18,2
Ethan,39,13,507,3
Ethan,17,17,289,1
Ethan,21,3,63,7
Emma,27,9,243,3
Emma,36,3,108,12
Emma,32,4,128,8
Emma,40,20,800,2
Samuel,32,32,1024,1
Samuel,36,3,108,12
Samuel,28,14,392,2
Samuel,38,38,1444,1
Alexander,12,4,48,3
Alexander,42,3,126,14
Alexander,5,5,25,1
Alexander,46,23,1058,2
Emma,33,33,1089,1
Emma,24,8,192,3
Emma,11,11,121,1
Emma,8,4,32,2
Thomas,6,6,36,1
Thomas,26,13,338,2
Thomas,22,22,484,1
Thomas,6,2,12,3
Ella,18,18,324,1
Ella,16,8,128,2
Ella,42,6,252,7
Ella,15,15,225,1
Ethan,24,4,96,6
Ethan,42,2,84,21
Ethan,27,3,81,9
Ethan,35,7,245,5
Charlotte,50,25,1250,2
Charlotte,15,15,225,1
Charlotte,20,2,40,10
Charlotte,30,15,450,2
Olivia,48,24,1152,2
Olivia,48,16,768,3
Olivia,36,2,72,18
Olivia,36,12,432,3
Lucas,22,11,242,2
Lucas,12,3,36,4
Lucas,49,49,2401,1
Lucas,26,2,52,13
Olivia,30,6,180,5
Olivia,50,5,250,10
Olivia,16,2,32,8
Olivia,33,11,363,3
Grace,39,13,507,3
Grace,35,7,245,5
Grace,11,11,121,1
Grace,44,11,484,4
Jack,33,3,99,11
Jack,4,4,16,1
Jack,38,38,1444,1
Jack,15,3,45,5
Mia,34,34,1156,1
Mia,40,2,80,20
Mia,20,20,400,1
Mia,45,5,225,9
Jack,28,4,112,7
Jack,46,2,92,23
Jack,42,14,588,3
Jack,42,2,84,21
Mia,49,49,2401,1
Mia,28,2,56,14
Mia,32,2,64,16
Mia,26,2,52,13
Matthew,12,12,144,1
Matthew,28,14,392,2
Matthew,40,10,400,4
Matthew,26,2,52,13
Thomas,41,41,1681,1
Thomas,48,8,384,6
Thomas,50,50,2500,1
Thomas,36,3,108,12
Samuel,6,6,36,1
Samuel,32,4,128,8
Samuel,21,3,63,7
Samuel,42,21,882,2
Henry,34,2,68,17
Henry,27,9,243,3
Henry,33,3,99,11
Henry,28,14,392,2
Nathan,50,2,100,25
Nathan,28,7,196,4
Nathan,48,3,144,16
Nathan,4,2,8,2
Michael,21,21,441,1
Michael,12,6,72,2
Michael,25,25,625,1
Michael,48,3,144,16
Thomas,25,25,625,1
Thomas,42,6,252,7
Thomas,42,42,1764,1
Thomas,40,8,320,5
Zoe,5,5,25,1
Zoe,30,3,90,10
Zoe,24,6,144,4
Zoe,36,36,1296,1
Lucas,26,2,52,13
Lucas,30,10,300,3
Lucas,48,24,1152,2
Lucas,35,7,245,5
Lily,48,2,96,24
Lily,45,15,675,3
Lily,33,11,363,3
Lily,39,3,117,13
Harper,47,47,2209,1
Harper,32,8,256,4
Harper,34,2,68,17
Harper,40,20,800,2
Alexander,30,10,300,3
Alexander,26,26,676,1
Alexander,24,24,576,1
Alexander,16,2,32,8
